# Real measured carbon-monoxide time-series — NOT authored by Trinetra.
# Source : UCI Machine Learning Repository #360 "Air Quality" (De Vito et al., 2008)
#          S. De Vito et al., "On field calibration of an electronic nose...",
#          Sensors and Actuators B, 129(2), 750-757, 2008.  DOI: 10.24432/C5K603
# License: Creative Commons Attribution 4.0 International (CC BY 4.0)
# Channel: CO(GT) = true hourly-averaged CO concentration (mg/m^3) from the reference
#          co-located analyser; co_sensor_s1 = the PT08.S1(CO) metal-oxide sensor response
#          (both as published; -200 in the source = missing — those hours are excluded).
# Window : 23 Nov 2004 05:00 -> 24 Nov 2004 01:00 (21 consecutive valid hours), a real
#          winter-day urban CO accumulation: low pre-dawn, a gradual daytime build-up with
#          real dips, an evening peak (11.9), then an overnight clear-out.
# Use    : replayed UNMODIFIED through the Trinetra connector. The only overlays (stated in
#          docs/EXTERNAL_DATA.md and applied in code, not here) are (1) a linear y-scale onto
#          the plant ppm band and (2) a hot-work + personnel context the dataset has no notion
#          of. The CO DYNAMICS below are the dataset's, untouched.
datetime,co_mg_m3,co_sensor_s1
2004-11-23T05:00,1.3,1091
2004-11-23T06:00,1.4,1126
2004-11-23T07:00,2.1,1210
2004-11-23T08:00,4.5,1565
2004-11-23T09:00,5.7,1578
2004-11-23T10:00,6.6,1702
2004-11-23T11:00,5.0,1552
2004-11-23T12:00,5.3,1590
2004-11-23T13:00,5.4,1640
2004-11-23T14:00,7.3,1769
2004-11-23T15:00,5.1,1581
2004-11-23T16:00,5.3,1658
2004-11-23T17:00,7.3,1821
2004-11-23T18:00,10.2,1982
2004-11-23T19:00,11.9,2008
2004-11-23T20:00,11.5,1918
2004-11-23T21:00,8.3,1693
2004-11-23T22:00,4.7,1495
2004-11-23T23:00,4.0,1449
2004-11-24T00:00,3.9,1439
2004-11-24T01:00,2.8,1270
